annual_inc,chargeoff_within_12_mths,delinq_amnt,delinq_2yrs,dti,installment,int_rate,loan_amnt,mths_since_last_delinq,bad_loans
25000.0,0.0,0.0,0.0,36.1,126.49,17.97,3500.0,47.0,0
71815.0,0.0,0.0,0.0,11.54,744.13,16.91,30000.0,41.0,0
40000.0,0.0,0.0,0.0,8.7,484.58,10.08,15000.0,60.0,0
85000.0,0.0,0.0,0.0,17.73,484.58,10.08,15000.0,39.0,0
85000.0,0.0,0.0,0.0,18.63,505.93,17.97,14000.0,76.0,0
78000.0,0.0,0.0,0.0,13.32,356.08,16.91,10000.0,74.0,0
94000.0,0.0,0.0,0.0,18.81,187.58,7.84,6000.0,72.0,0
350000.0,0.0,0.0,4.0,12.65,920.91,27.27,30000.0,6.0,0
32900.0,0.0,0.0,0.0,24.66,339.65,13.56,10000.0,71.0,0
66296.0,0.0,0.0,0.0,9.88,307.27,6.67,10000.0,55.0,0
53000.0,0.0,0.0,1.0,11.82,40.46,26.31,1000.0,3.0,0
45000.0,0.0,0.0,0.0,1.73,92.92,7.21,3000.0,67.0,0
113000.0,0.0,0.0,0.0,24.63,64.98,10.47,2000.0,66.0,0
14518.8,0.0,0.0,0.0,96.28,216.83,17.97,6000.0,58.0,1
64000.0,0.0,0.0,1.0,20.87,595.31,16.91,24000.0,5.0,0
53000.0,0.0,0.0,0.0,1.05,97.47,10.47,3000.0,54.0,1
5500.0,0.0,0.0,3.0,313.32,888.2,17.97,35000.0,15.0,0
90000.0,0.0,0.0,2.0,9.24,185.62,19.92,5000.0,16.0,1
137000.0,0.0,0.0,0.0,23.02,285.61,15.02,12000.0,31.0,1
22044.0,0.0,0.0,0.0,25.64,101.9,13.56,3000.0,32.0,1
187000.0,0.0,0.0,3.0,22.54,640.95,16.91,18000.0,9.0,1
78000.0,0.0,0.0,0.0,0.62,112.86,20.89,3000.0,54.0,0
66900.0,0.0,0.0,1.0,26.67,454.93,19.92,17200.0,12.0,0
175000.0,0.0,0.0,0.0,6.14,468.94,7.84,15000.0,32.0,0
80000.0,0.0,0.0,0.0,35.31,693.51,15.02,20000.0,46.0,1
750000.0,0.0,0.0,1.0,5.8,289.1,17.97,8000.0,10.0,0
60000.0,0.0,0.0,0.0,13.1,423.6,10.08,19900.0,48.0,0
75000.0,0.0,0.0,0.0,29.49,323.05,10.08,10000.0,37.0,0
49000.0,0.0,0.0,1.0,14.72,646.1,10.08,20000.0,8.0,0
80000.0,0.0,0.0,0.0,14.63,613.94,27.27,20000.0,37.0,1
32700.0,0.0,0.0,0.0,13.98,242.73,15.02,7000.0,53.0,0
54000.0,0.0,0.0,0.0,24.8,211.36,16.14,6000.0,45.0,0
62000.0,0.0,0.0,0.0,12.2,271.93,6.67,8850.0,32.0,0
87700.0,0.0,0.0,2.0,6.92,276.49,13.56,12000.0,5.0,0
250000.0,0.0,0.0,0.0,4.4,1113.69,19.92,30000.0,44.0,0
32000.0,0.0,0.0,1.0,13.92,111.37,19.92,3000.0,10.0,1
50000.0,0.0,0.0,0.0,3.84,307.27,6.67,10000.0,38.0,0
70000.0,0.0,0.0,1.0,23.06,346.76,15.02,10000.0,10.0,0
14000.0,0.0,0.0,0.0,49.14,308.64,10.47,9500.0,72.0,1
42000.0,0.0,0.0,0.0,10.43,295.51,25.34,10000.0,63.0,0
65000.0,0.0,0.0,0.0,24.35,778.92,22.35,28000.0,50.0,0
54000.0,0.0,0.0,0.0,4.64,176.68,8.46,5600.0,63.0,0
47000.0,0.0,0.0,0.0,23.37,767.43,27.27,25000.0,27.0,0
106000.0,0.0,0.0,0.0,16.73,681.56,11.06,20800.0,29.0,0
43680.0,0.0,0.0,1.0,9.64,126.2,8.46,4000.0,23.0,0
70000.0,0.0,0.0,0.0,11.21,173.38,15.02,5000.0,56.0,0
95000.0,0.0,0.0,0.0,4.48,368.72,6.67,12000.0,35.0,0
65000.0,0.0,0.0,1.0,21.51,566.46,15.02,23800.0,23.0,0
45000.0,0.0,0.0,0.0,3.73,238.01,15.02,10000.0,35.0,0
40000.0,0.0,0.0,0.0,8.15,344.07,14.47,10000.0,77.0,0
95000.0,0.0,0.0,0.0,20.68,1098.78,18.94,30000.0,64.0,0
98000.0,0.0,0.0,0.0,31.79,1151.16,22.35,30000.0,42.0,0
64000.0,0.0,0.0,0.0,20.48,347.26,16.91,14000.0,30.0,0
75000.0,0.0,0.0,0.0,16.48,156.32,7.84,5000.0,26.0,0
40000.0,0.0,0.0,0.0,5.37,214.8,10.47,10000.0,51.0,0
30000.0,0.0,0.0,0.0,22.08,105.68,16.14,3000.0,44.0,0
95000.0,0.0,0.0,0.0,15.47,346.76,15.02,10000.0,50.0,0
250000.0,0.0,0.0,1.0,6.1,304.72,6.11,10000.0,20.0,0
133000.0,0.0,0.0,0.0,14.57,1151.16,22.35,30000.0,41.0,1
70000.0,0.0,0.0,0.0,14.02,509.47,13.56,15000.0,25.0,0
48000.0,0.0,0.0,0.0,3.4,176.14,16.14,5000.0,46.0,0
30000.0,0.0,0.0,1.0,27.2,281.81,16.14,8000.0,13.0,0
112000.0,0.0,0.0,0.0,29.49,339.23,12.73,15000.0,28.0,0
400000.0,0.0,0.0,2.0,5.75,1098.78,18.94,30000.0,16.0,0
105000.0,0.0,0.0,2.0,12.52,113.95,16.91,3200.0,16.0,0
72000.0,0.0,0.0,0.0,17.3,406.04,17.97,16000.0,51.0,0
73000.0,0.0,0.0,1.0,31.6,860.16,14.47,25000.0,14.0,0
70000.0,0.0,0.0,0.0,24.43,321.64,29.69,10000.0,56.0,0
58000.0,0.0,0.0,0.0,11.38,317.4,19.92,12000.0,74.0,0
70000.0,0.0,0.0,0.0,4.7,137.63,14.47,4000.0,24.0,1
60000.0,0.0,0.0,0.0,18.96,60.19,20.89,1600.0,58.0,0
60000.0,0.0,0.0,0.0,18.7,472.82,25.34,16000.0,29.0,0
120000.0,0.0,0.0,1.0,16.06,94.65,8.46,3000.0,4.0,0
240000.0,0.0,0.0,0.0,12.09,469.9,12.73,14000.0,44.0,0
52800.0,0.0,0.0,0.0,6.06,188.1,20.89,5000.0,54.0,0
52500.0,0.0,0.0,0.0,16.32,206.91,20.89,5500.0,60.0,0
48000.0,0.0,0.0,0.0,17.65,346.92,17.97,9600.0,33.0,0
44000.0,0.0,0.0,0.0,25.1,231.0,11.55,7000.0,32.0,0
32000.0,0.0,0.0,0.0,8.48,150.48,20.89,4000.0,66.0,0
48000.0,0.0,0.0,0.0,19.98,284.99,18.94,11000.0,52.0,0
55000.0,0.0,0.0,0.0,10.71,154.87,7.21,5000.0,29.0,0
71976.0,0.0,0.0,1.0,26.53,740.59,19.92,28000.0,15.0,0
475000.0,0.0,0.0,0.0,13.24,1218.88,6.11,40000.0,32.0,0
75000.0,0.0,0.0,0.0,18.78,184.61,12.73,5500.0,49.0,0
40000.0,0.0,0.0,3.0,53.26,793.49,19.92,30000.0,12.0,0
38000.0,0.0,0.0,3.0,37.71,777.23,18.94,30000.0,16.0,0
35000.0,0.0,0.0,1.0,35.56,69.36,15.02,2000.0,34.0,0
55000.0,0.0,0.0,1.0,32.69,361.38,17.97,10000.0,12.0,0
115000.0,0.0,0.0,0.0,19.48,345.62,13.56,15000.0,31.0,0
63000.0,0.0,0.0,0.0,33.87,550.68,24.37,19000.0,76.0,0
35000.0,0.0,0.0,0.0,53.36,309.74,7.21,10000.0,43.0,0
72000.0,0.0,0.0,2.0,23.6,634.79,19.92,24000.0,14.0,0
119668.0,0.0,0.0,3.0,29.98,357.01,15.02,15000.0,16.0,0
96000.0,0.0,0.0,0.0,11.08,312.63,7.84,10000.0,30.0,0
140000.0,0.0,0.0,2.0,17.36,973.64,22.35,35000.0,6.0,0
120000.0,0.0,0.0,1.0,29.16,675.23,14.47,19625.0,7.0,0
77000.0,0.0,0.0,0.0,21.12,619.32,14.47,18000.0,37.0,0
96000.0,0.0,0.0,1.0,30.51,673.2,11.55,20400.0,22.0,0
62000.0,0.0,0.0,0.0,14.15,162.45,10.47,5000.0,81.0,0
170000.0,0.0,0.0,1.0,4.36,1113.69,19.92,30000.0,11.0,0
120000.0,0.0,0.0,1.0,12.07,213.65,16.91,6000.0,4.0,0
85000.0,0.0,0.0,0.0,15.81,366.26,18.94,10000.0,43.0,0
92805.0,0.0,0.0,1.0,8.44,1036.31,18.94,40000.0,4.0,1
72000.0,0.0,0.0,0.0,11.73,384.57,18.94,10500.0,47.0,0
70000.0,0.0,0.0,0.0,28.17,366.26,18.94,10000.0,34.0,0
50000.0,0.0,0.0,0.0,30.82,243.93,16.14,10000.0,25.0,0
95680.0,0.0,0.0,2.0,6.56,346.76,15.02,10000.0,20.0,0
50000.0,0.0,0.0,0.0,8.98,518.16,18.94,20000.0,57.0,0
140000.0,0.0,0.0,1.0,15.31,172.04,14.47,5000.0,8.0,0
30000.0,0.0,0.0,0.0,16.84,39.94,25.34,1000.0,74.0,0
68000.0,0.0,0.0,0.0,25.91,629.69,30.17,19400.0,25.0,0
75000.0,0.0,0.0,0.0,16.08,330.0,11.55,10000.0,79.0,0
102000.0,0.0,0.0,0.0,22.4,550.45,11.55,25000.0,71.0,0
157000.0,0.0,0.0,1.0,12.14,67.93,13.56,2000.0,5.0,0
66000.0,0.0,0.0,1.0,17.55,920.91,27.27,30000.0,22.0,0
50000.0,0.0,0.0,1.0,25.28,491.51,11.06,15000.0,15.0,0
100000.0,0.0,0.0,0.0,15.64,375.89,10.47,17500.0,67.0,0
185000.0,0.0,0.0,0.0,12.14,352.29,11.55,16000.0,31.0,0
75000.0,0.0,0.0,0.0,36.3,742.46,19.92,20000.0,42.0,0
42000.0,0.0,0.0,0.0,24.57,427.3,16.91,12000.0,80.0,0
67000.0,0.0,0.0,3.0,21.26,639.52,20.89,17000.0,7.0,0
31200.0,0.0,0.0,0.0,43.96,866.88,15.02,25000.0,32.0,0
70000.0,0.0,0.0,1.0,44.33,188.1,20.89,5000.0,4.0,1
64000.0,0.0,0.0,1.0,7.91,297.0,11.55,9000.0,3.0,0
150000.0,0.0,0.0,0.0,22.86,306.98,22.35,8000.0,34.0,0
70000.0,0.0,0.0,0.0,11.26,693.51,15.02,20000.0,60.0,0
85950.0,0.0,0.0,0.0,17.15,554.81,15.02,16000.0,25.0,0
86000.0,0.0,0.0,0.0,13.01,468.94,7.84,15000.0,70.0,0
78000.0,0.0,0.0,1.0,28.07,371.23,19.92,10000.0,21.0,0
118000.0,0.0,0.0,0.0,14.55,296.99,19.92,8000.0,36.0,0
29592.0,0.0,0.0,1.0,7.91,554.81,15.02,16000.0,8.0,0
60000.0,0.0,0.0,1.0,12.94,196.61,11.06,6000.0,14.0,0
59960.0,0.0,0.0,1.0,17.65,306.97,27.27,10000.0,22.0,0
180000.0,0.0,0.0,0.0,22.81,806.43,13.56,35000.0,69.0,0
65000.0,0.0,0.0,0.0,30.35,641.49,15.02,18500.0,71.0,0
60000.0,0.0,0.0,0.0,12.57,101.9,13.56,3000.0,56.0,0
36000.0,0.0,0.0,0.0,31.33,651.96,28.72,20650.0,45.0,0
125000.0,0.0,0.0,0.0,7.72,624.16,15.02,18000.0,71.0,0
25000.0,0.0,0.0,0.0,9.17,228.54,6.11,7500.0,32.0,0
60000.0,0.0,0.0,2.0,18.98,780.57,16.14,32000.0,4.0,0
85000.0,0.0,0.0,1.0,5.51,105.6,11.55,3200.0,10.0,0
120000.0,0.0,0.0,0.0,11.46,556.37,22.35,20000.0,35.0,0
62000.0,0.0,0.0,1.0,16.03,301.25,26.31,10000.0,21.0,0
130000.0,0.0,0.0,0.0,9.7,609.44,6.11,20000.0,36.0,0
65000.0,0.0,0.0,1.0,21.69,384.57,18.94,10500.0,16.0,0
96000.0,0.0,0.0,2.0,25.75,575.58,22.35,15000.0,7.0,0
45000.0,0.0,0.0,0.0,15.04,1032.2,14.47,30000.0,38.0,0
85000.0,0.0,0.0,0.0,23.9,906.77,18.94,35000.0,41.0,1
80000.0,0.0,0.0,0.0,28.98,484.58,10.08,15000.0,56.0,0
94000.0,0.0,0.0,1.0,44.1,295.9,16.14,8400.0,8.0,1
150000.0,0.0,0.0,0.0,13.9,983.02,11.06,30000.0,43.0,0
96200.0,0.0,0.0,0.0,13.69,691.23,13.56,30000.0,36.0,0
49000.0,0.0,0.0,0.0,26.9,714.02,15.02,30000.0,57.0,0
33000.0,0.0,0.0,1.0,4.33,103.61,22.35,2700.0,6.0,0
96000.0,0.0,0.0,1.0,10.48,250.11,7.84,8000.0,21.0,0
60000.0,0.0,0.0,0.0,18.61,595.46,23.4,15300.0,76.0,0
136000.0,0.0,0.0,0.0,22.03,183.13,18.94,5000.0,48.0,0
71000.0,0.0,0.0,1.0,33.19,1151.16,22.35,30000.0,11.0,0
112000.0,0.0,0.0,1.0,29.25,920.91,27.27,30000.0,3.0,0
60000.0,0.0,0.0,0.0,8.94,183.13,18.94,5000.0,49.0,0
100000.0,0.0,0.0,1.0,23.08,243.93,16.14,10000.0,22.0,1
130000.0,0.0,0.0,1.0,19.05,642.62,15.02,27000.0,4.0,0
27000.0,0.0,0.0,0.0,20.93,115.12,22.35,3000.0,32.0,0
55000.0,0.0,0.0,0.0,25.62,587.82,14.47,25000.0,42.0,0
90000.0,0.0,0.0,5.0,26.13,312.63,7.84,10000.0,9.0,0
62000.0,0.0,0.0,0.0,10.01,61.95,7.21,2000.0,42.0,0
40000.0,0.0,0.0,0.0,31.83,336.8,18.94,13000.0,46.0,0
750000.0,0.0,0.0,2.0,11.05,492.49,13.56,14500.0,7.0,0
42000.0,0.0,0.0,0.0,19.54,679.29,13.56,20000.0,33.0,0
65000.0,0.0,0.0,1.0,28.79,460.82,13.56,20000.0,18.0,0
71000.0,0.0,0.0,0.0,24.47,400.59,22.35,14400.0,51.0,0
12000.0,0.0,0.0,0.0,2.5,108.42,17.97,3000.0,27.0,0
100000.0,0.0,0.0,0.0,7.79,646.1,10.08,20000.0,33.0,0
40000.0,0.0,0.0,0.0,24.3,376.19,20.89,10000.0,46.0,0
56800.0,0.0,0.0,0.0,26.24,507.55,17.97,20000.0,78.0,0
53000.0,0.0,0.0,1.0,2.31,266.46,17.97,10500.0,3.0,0
120000.0,0.0,0.0,0.0,8.01,1084.07,7.21,35000.0,69.0,1
55000.0,0.0,0.0,0.0,50.77,357.01,15.02,15000.0,28.0,0
45000.0,0.0,0.0,0.0,29.71,346.76,15.02,10000.0,78.0,0
285000.0,0.0,0.0,0.0,11.22,387.66,10.08,12000.0,41.0,0
45000.0,0.0,0.0,1.0,15.63,213.65,16.91,6000.0,17.0,0
30000.0,0.0,0.0,0.0,20.55,178.69,10.47,5500.0,67.0,0
130000.0,0.0,0.0,0.0,31.48,668.53,28.72,21175.0,50.0,1
89000.0,0.0,0.0,1.0,9.83,343.81,27.27,11200.0,8.0,0
144000.0,0.0,0.0,1.0,13.19,579.67,24.37,20000.0,16.0,0
50000.0,0.0,0.0,0.0,14.5,216.83,17.97,6000.0,31.0,0
60000.0,0.0,0.0,0.0,22.26,270.74,18.94,10450.0,78.0,0
48000.0,0.0,0.0,0.0,16.53,361.85,12.73,16000.0,51.0,0
52000.0,0.0,0.0,0.0,27.81,310.13,10.08,9600.0,28.0,0
67200.0,0.0,0.0,0.0,13.45,194.93,10.47,6000.0,32.0,0
35000.0,0.0,0.0,0.0,18.52,403.33,28.72,12775.0,27.0,0
45000.0,0.0,0.0,0.0,46.35,473.24,8.46,15000.0,47.0,0
69000.0,0.0,0.0,1.0,33.93,807.62,10.08,25000.0,19.0,0
55000.0,0.0,0.0,0.0,13.7,94.05,20.89,2500.0,40.0,0
130000.0,0.0,0.0,1.0,10.36,1174.75,12.73,35000.0,23.0,0
86176.0,0.0,0.0,0.0,10.67,230.41,13.56,10000.0,41.0,0
55000.0,0.0,0.0,0.0,34.85,78.65,11.06,2400.0,32.0,0
147000.0,0.0,0.0,0.0,17.76,59.44,13.56,1750.0,79.0,0
35000.0,0.0,0.0,2.0,52.18,454.31,8.46,14400.0,21.0,0
175000.0,0.0,0.0,2.0,22.0,752.38,20.89,20000.0,3.0,0
95000.0,0.0,0.0,2.0,14.17,146.51,18.94,4000.0,8.0,0
96825.24,0.0,0.0,4.0,26.6,556.37,22.35,20000.0,12.0,0
112500.0,0.0,0.0,0.0,18.84,230.45,6.67,7500.0,32.0,0
149600.0,0.0,0.0,2.0,20.15,385.25,27.27,12550.0,7.0,0
175000.0,0.0,0.0,0.0,3.92,518.16,18.94,20000.0,29.0,0
43000.0,0.0,0.0,0.0,4.41,53.42,16.91,1500.0,66.0,0
110000.0,0.0,0.0,0.0,13.65,269.92,20.89,10000.0,49.0,0
195000.0,0.0,0.0,0.0,12.42,1213.63,15.02,35000.0,29.0,0
66000.0,0.0,0.0,1.0,6.82,422.72,16.14,12000.0,21.0,0
52000.0,0.0,0.0,0.0,15.32,496.09,16.91,20000.0,49.0,0
80000.0,0.0,0.0,3.0,14.72,356.08,16.91,10000.0,11.0,0
80000.0,0.0,0.0,0.0,16.81,375.16,7.84,12000.0,33.0,0
134000.0,0.0,0.0,0.0,9.91,609.44,6.11,20000.0,43.0,0
75000.0,0.0,0.0,0.0,29.55,361.38,17.97,10000.0,33.0,0
40000.0,0.0,0.0,0.0,5.4,281.37,7.84,9000.0,75.0,0
76000.0,0.0,0.0,1.0,15.71,181.94,10.47,5600.0,8.0,0
112000.0,0.0,0.0,0.0,7.88,162.45,10.47,5000.0,61.0,0
72000.0,0.0,0.0,0.0,21.03,550.51,14.47,16000.0,25.0,0
83500.0,0.0,0.0,0.0,30.76,555.8,26.31,18450.0,33.0,1
85000.0,0.0,0.0,0.0,21.49,259.08,18.94,10000.0,75.0,0
23500.0,0.0,0.0,1.0,8.12,34.68,15.02,1000.0,20.0,0
245000.0,0.0,0.0,1.0,9.23,761.8,6.11,25000.0,5.0,0
55000.0,0.0,0.0,3.0,31.44,352.69,14.47,15000.0,14.0,0
110000.0,0.0,0.0,0.0,20.89,428.41,15.02,18000.0,51.0,0
180000.0,0.0,0.0,0.0,35.49,799.4,16.91,22450.0,49.0,1
52000.0,0.0,0.0,1.0,23.98,732.52,18.94,20000.0,3.0,0
51000.0,0.0,0.0,1.0,20.07,264.5,19.92,10000.0,20.0,0
84293.0,0.0,0.0,0.0,14.08,565.38,12.73,25000.0,80.0,0
55000.0,0.0,0.0,0.0,17.63,1040.26,15.02,30000.0,50.0,0
73840.0,0.0,0.0,0.0,7.1,180.69,17.97,5000.0,30.0,0
34000.0,0.0,0.0,0.0,28.87,512.56,24.37,13000.0,32.0,0
80000.0,0.0,0.0,0.0,5.07,1098.78,18.94,30000.0,29.0,0
71000.0,0.0,0.0,0.0,18.42,486.67,19.92,18400.0,68.0,0
70000.0,0.0,0.0,0.0,20.64,912.97,24.37,31500.0,39.0,0
35000.0,0.0,0.0,0.0,5.93,356.08,16.91,10000.0,43.0,0
50000.0,0.0,0.0,0.0,17.55,537.36,19.92,14475.0,25.0,0
62000.0,0.0,0.0,0.0,25.76,767.37,23.4,27000.0,64.0,0
75000.0,0.0,0.0,0.0,25.87,1204.23,14.47,35000.0,52.0,0
75000.0,0.0,0.0,1.0,24.67,131.31,7.84,4200.0,11.0,0
87000.0,0.0,0.0,0.0,17.6,65.54,11.06,2000.0,74.0,0
140000.0,0.0,0.0,0.0,26.55,475.13,11.06,14500.0,26.0,0
68000.0,0.0,0.0,0.0,29.14,407.08,12.73,18000.0,30.0,0
120000.0,0.0,0.0,1.0,9.17,469.9,12.73,14000.0,8.0,0
40000.0,0.0,0.0,0.0,14.73,169.83,13.56,5000.0,60.0,0
100000.0,0.0,0.0,0.0,38.76,803.85,16.91,22575.0,30.0,0
185000.0,0.0,0.0,1.0,15.26,992.17,16.91,40000.0,6.0,0
60000.0,0.0,0.0,0.0,17.64,161.53,10.08,5000.0,46.0,0
85000.0,0.0,0.0,0.0,15.42,223.01,7.21,7200.0,79.0,0
165000.0,0.0,0.0,1.0,27.29,431.87,20.89,16000.0,18.0,0
80000.0,0.0,0.0,1.0,14.01,259.08,18.94,10000.0,9.0,0
62800.0,0.0,0.0,1.0,17.56,131.31,7.84,4200.0,15.0,0
67000.0,0.0,0.0,2.0,11.7,782.41,18.94,30200.0,15.0,0
56000.0,0.0,0.0,0.0,26.68,156.32,7.84,5000.0,26.0,0
36000.0,0.0,0.0,4.0,18.23,407.58,13.56,12000.0,20.0,0
60000.0,0.0,0.0,0.0,17.42,460.82,13.56,20000.0,70.0,0
46000.0,0.0,0.0,1.0,23.51,237.76,13.56,7000.0,5.0,0
85000.0,0.0,0.0,0.0,18.85,1084.13,17.97,30000.0,34.0,0
64608.0,0.0,0.0,2.0,22.94,815.15,13.56,24000.0,25.0,0
65000.0,0.0,0.0,0.0,16.6,346.76,15.02,10000.0,48.0,0
32000.0,0.0,0.0,1.0,27.04,505.15,28.72,16000.0,21.0,1
40000.0,0.0,0.0,0.0,9.06,244.55,13.56,7200.0,24.0,0
120000.0,0.0,0.0,0.0,14.35,264.5,19.92,10000.0,68.0,0
90000.0,0.0,0.0,0.0,2.56,104.86,11.06,3200.0,52.0,0
158000.0,0.0,0.0,0.0,9.47,404.88,20.89,15000.0,54.0,0
43600.0,0.0,0.0,1.0,13.85,722.54,14.47,21000.0,22.0,0
65000.0,0.0,0.0,0.0,14.68,778.92,22.35,28000.0,71.0,0
35000.0,0.0,0.0,0.0,12.35,209.71,11.06,6400.0,65.0,0
52000.0,0.0,0.0,4.0,22.82,757.72,28.72,24000.0,18.0,0
18000.0,0.0,0.0,0.0,36.47,192.87,16.14,5475.0,45.0,0
42000.0,0.0,0.0,0.0,26.91,906.77,18.94,35000.0,68.0,0
74000.0,0.0,0.0,0.0,10.49,804.09,29.69,25000.0,76.0,1
67000.0,0.0,0.0,0.0,17.0,767.43,27.27,25000.0,45.0,0
60000.0,0.0,0.0,1.0,6.04,434.75,24.37,15000.0,9.0,1
78000.0,0.0,0.0,0.0,15.91,256.13,16.14,10500.0,34.0,0
95000.0,0.0,0.0,1.0,38.74,273.2,16.14,11200.0,19.0,0
128803.6,0.0,0.0,0.0,23.14,147.46,11.06,4500.0,69.0,0
65000.0,0.0,0.0,2.0,19.81,368.37,27.27,12000.0,8.0,0
150000.0,0.0,0.0,1.0,15.82,1188.76,13.56,35000.0,6.0,0
85000.0,0.0,0.0,0.0,22.53,751.32,18.94,29000.0,89.0,1
65000.0,0.0,0.0,0.0,22.51,73.87,22.35,1925.0,28.0,1
30000.0,0.0,0.0,0.0,33.64,454.84,10.47,14000.0,36.0,0
62351.0,0.0,0.0,2.0,36.4,207.3,14.47,6025.0,14.0,0
87000.0,0.0,0.0,1.0,22.28,416.75,28.72,13200.0,19.0,0
80000.0,0.0,0.0,0.0,34.82,921.64,13.56,40000.0,33.0,0
102000.0,0.0,0.0,0.0,17.48,536.98,10.47,25000.0,79.0,0
60000.0,0.0,0.0,1.0,15.16,196.61,11.06,6000.0,8.0,0
117500.0,0.0,0.0,0.0,15.54,226.16,12.73,10000.0,26.0,0
75000.0,0.0,0.0,0.0,23.28,353.02,27.27,11500.0,74.0,0
45000.0,1.0,0.0,5.0,18.43,324.89,10.47,10000.0,15.0,0
152000.0,0.0,0.0,0.0,16.93,194.93,10.47,6000.0,64.0,0
120000.0,0.0,0.0,0.0,5.88,102.52,20.89,2725.0,34.0,0
120000.0,0.0,0.0,1.0,14.88,162.45,10.47,5000.0,8.0,0
95000.0,0.0,0.0,0.0,22.36,997.79,14.47,29000.0,28.0,0
100000.0,0.0,0.0,1.0,8.77,37.62,20.89,1000.0,19.0,0
58000.0,0.0,0.0,0.0,24.81,48.74,10.47,1500.0,28.0,1
45000.0,0.0,0.0,2.0,18.21,345.62,13.56,15000.0,78.0,0
215000.0,0.0,0.0,0.0,14.7,529.98,26.31,13100.0,31.0,0
130000.0,0.0,0.0,1.0,13.84,345.62,13.56,15000.0,7.0,1
92000.0,0.0,0.0,0.0,4.58,774.34,7.21,25000.0,49.0,0
95000.0,0.0,0.0,0.0,29.62,504.53,19.92,19075.0,53.0,1
127183.0,0.0,0.0,0.0,12.97,625.26,7.84,20000.0,33.0,0
120000.0,0.0,0.0,2.0,26.64,366.26,18.94,10000.0,13.0,0
63000.0,0.0,0.0,1.0,23.89,485.85,20.89,18000.0,19.0,0
72000.0,0.0,0.0,0.0,2.47,38.92,23.4,1000.0,28.0,0
90000.0,0.0,0.0,0.0,17.43,192.68,14.47,5600.0,43.0,0
